"","IDCNTRY","booklet_id","IDSCHOOL","IDCLASS","person_id","ITSEX","dum.fr","dum.eng","dum.hk","dum.kor","dum.qat","dum.nor","dum.twn","ME52024","ME52058A","ME52058B","ME52125","ME52229","ME52063","ME52072","ME52146A","ME52146B","ME52092","ME52046","ME52083","ME52082","ME52161","ME52418A","ME52418B","ME72007","ME72025","ME72017","ME72190","ME72068","ME72076","ME72056","ME72098","ME72103","ME72121","ME72180","ME72198","ME72227","ME72170","ME72209","ME52024t","ME52058At","ME52058Bt","ME52125t","ME52229t","ME52063t","ME52072t","ME52146At","ME52146Bt","ME52092t","ME52046t","ME52083t","ME52082t","ME52161t","ME52418At","ME52418Bt","ME72007t","ME72025t","ME72017t","ME72190t","ME72068t","ME72076t","ME72056t","ME72098t","ME72103t","ME72121t","ME72180t","ME72198t","ME72227t","ME72170t","ME72209t"
"1","FRA","Booklet 01","5001","500108","50010809","Female",0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,41.352,86.785,86.785,20.239,40.234,45.574,14.286,137.896,137.896,28.007,50.133,74.337,34.944,46.387,57.74,57.74,48.351,36.758,44.856,48.701,64.869,22.057,122.065,46.497,17.727,35.05,41.36,40.092,69.207,42.265,220.24
"2","FRA","Booklet 01","5001","500108","50010825","Female",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,72.166,113.876,113.876,30.697,96.934,57.23,35.502,178,178,34.583,93.511,97.094,52.573,45.807,254.409,254.409,336.44,65.496,100.423,57.411,47.154,63.477,118.848,128.228,95.442,59.369,75.121,63.569,80.051,49.253,160.462
"3","FRA","Booklet 01","5002","500203","50020303","Male",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,46.582,157.626,157.626,32.782,33.306,83.864,34.305,158.925,158.925,41.309,161.527,193.079,59.49,11.578,3.909,3.909,10.031,13.153,37.643,30.688,39.44,18.433,26.485,32.078,81.281,48.55,113.681,81.71,146.24,182.914,44.657
"4","FRA","Booklet 01","5002","500203","50020319","Male",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,0,1,0,0,0,1,0,1,1,0,47.657,184.89,184.89,25.229,84.87,30.287,24.362,125.304,125.304,105.7,74.051,100.624,83.945,36.607,206.577,206.577,108.162,123.607,144.063,42.907,53.554,242.322,57.327,185.527,88.111,36.646,49.293,67.144,66.399,39.828,265.293
"5","FRA","Booklet 01","5003","500301","50030108","Male",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,71.765,79.13,79.13,24.081,16.767,30.644,16.539,96.478,96.478,25.341,45.186,24.62,16.419,26.142,68.555,68.555,47.333,28.091,33.449,48.453,37.738,35.912,64.236,41.87,49.37,24.406,38.248,68.418,16.327,52.324,75.081
"6","FRA","Booklet 01","5003","500301","50030124","Female",0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,92.55,113.707,113.707,25.125,32.51,56.396,11.767,272.622,272.622,49.995,94.095,88.736,31.69,45.766,231.574,231.574,52.163,46.553,67.23,96.083,24.226,98.286,94.313,77.123,80.983,77.104,150.176,68.461,97.436,65.271,99.333
"7","FRA","Booklet 01","5004","500401","50040115","Female",0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,71.272,304.788,304.788,27.846,71.464,96.392,29.456,347.585,347.585,80.477,145.821,231.933,182.689,36.073,472.777,472.777,134.148,56.464,200.569,40.873,41.751,47.441,12.04,38.696,31.646,NA,NA,NA,NA,NA,NA
"8","FRA","Booklet 01","5004","500404","50040404","Male",0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,146.422,75.729,75.729,38.542,65.999,121.799,34.189,125.116,125.116,44.005,75.063,246.818,72.36,30.975,228.427,228.427,88.006,81.586,335.793,31.846,152.068,47.148,132.014,20.75,84.106,18.916,63.607,131.822,59.333,28.653,116.709
"9","FRA","Booklet 01","5004","500404","50040420","Male",0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,186.707,111.057,111.057,23.127,27.101,31.385,38.168,270.168,270.168,51.317,136.279,67.824,37.3,37.741,246.104,246.104,84.7,45.064,161.558,57.751,104.966,35.724,75.307,200.246,102.594,40.207,133.989,66.598,79.968,62.287,104.282
"10","FRA","Booklet 01","5005","500503","50050306","Female",0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,46.086,80.638,80.638,15.408,63.16,33.665,20.527,237.036,237.036,25.357,77.833,14.021,34.922,57.017,64.096,64.096,50.607,31.656,50.784,69.662,56.48,35.058,123.309,109.545,90.395,105.717,101.489,93.226,130.167,84.168,459.394
"11","FRA","Booklet 01","5005","500503","50050322","Male",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,10.755,48.309,48.309,14.32,30.162,22.474,10.039,82.937,82.937,13.163,19.447,56.722,13.275,21.508,61.624,61.624,56.339,16.96,72.455,34.37,49.918,17.21,40.403,17.868,88.415,11.31,66.074,31.468,94.045,44.614,82.82
"12","FRA","Booklet 01","5006","500601","50060105","Female",0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,100.529,77.986,77.986,43.556,32.397,21.36,19.673,197.929,197.929,31.489,145.598,148.261,182.723,63.457,150.488,150.488,67.686,36.234,83.043,81.704,77.641,62.803,48.634,212.435,85.668,59.441,69.762,100.339,61.35,64.906,42.216
"13","FRA","Booklet 01","5006","500601","50060121","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,46.032,80.804,80.804,49.589,12.656,41.193,21.6,309.824,309.824,155.882,89.909,416.862,30.725,99.128,256.451,256.451,62.264,24.601,57.27,69.137,66.015,82.063,41.687,76.074,47.532,28.394,83.679,146.614,102.616,29.717,105.324
"14","FRA","Booklet 01","5007","500705","50070512","Female",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,137.881,153.732,153.732,51.773,18.388,12.324,26.896,29.924,29.924,21.099,16.255,109.932,50.166,62.064,117.254,117.254,86.515,12.881,58.427,55.75,29.704,6.193,2.938,3.552,157.865,39.333,90.18,87.332,25.479,1.631,1.688
"15","FRA","Booklet 01","5008","500807","50080716","Male",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,61.748,164.365,164.365,19.289,10.216,25.928,18.596,10.559,10.559,81.588,40.799,20.28,57.418,38.336,41.112,41.112,36.446,19.89,35.024,166.304,12.223,81.358,110.011,29.124,144.531,7.252,24.525,100.616,32.138,92.005,95.033
"16","FRA","Booklet 01","5009","500901","50090114","Male",0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,89.191,145.706,145.706,15.793,87.103,22.546,10.743,84.65,84.65,31.134,63.27,57.863,41.889,61.553,136.876,136.876,46.037,15.001,46.696,40.459,83.243,29.037,65.982,11.925,37.548,27.982,66.819,56.39,49.705,51.505,100.587
"17","FRA","Booklet 01","5010","501002","50100205","Female",0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,101.684,173.171,173.171,82.797,40.521,43.413,20.722,184.934,184.934,28.462,96.136,99.302,42.935,44.634,103.381,103.381,141.185,43.914,131.089,67.079,58.614,49.484,92.25,120.479,62.786,136.619,90.025,58.887,118.636,78.962,359.227
"18","FRA","Booklet 01","5010","501002","50100221","Male",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,76.515,79.518,79.518,25.747,56.594,16.047,17.42,190.099,190.099,31.813,42.334,53.853,32.199,29.031,180.021,180.021,53.253,4.702,37.613,50.85,21.078,8.265,5.242,18.793,333.743,13.222,112.511,408.382,21.563,106.226,141.587
"19","FRA","Booklet 01","5011","501104","50110404","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.364,149.419,149.419,12.958,76.75,16.819,17.664,198.321,198.321,71.685,33.943,17.45,8.662,89.665,156.269,156.269,36.469,110.304,39.592,33.467,10.827,10.25,56.957,54.313,34.857,29.64,57.657,61.416,21.425,47.939,174.936
"20","FRA","Booklet 01","5011","501104","50110420","Male",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,26.426,203.042,203.042,32.967,15.393,15.056,47.492,212.952,212.952,12.363,13.648,47.823,30.853,40.3,160.333,160.333,60.849,20.174,44.492,37.571,18.428,19.863,29.653,51.299,41.64,58.061,66.014,121.476,72.432,60.221,115.237
"21","FRA","Booklet 01","5012","501201","50120106","Female",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,47.151,116.201,116.201,65.204,71.117,44.829,32.975,469.868,469.868,25.16,99.469,62.966,151.706,36.179,86.074,86.074,94.821,88.193,217.249,70.043,111.591,62.566,61.88,151.47,82.012,52.088,41.282,84.515,51.23,42.244,145.611
"22","FRA","Booklet 01","5012","501201","50120122","Male",0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,88.714,139.973,139.973,38.648,56.323,49.377,23.081,137.525,137.525,24.288,49.663,14.556,60.401,31.723,53.772,53.772,83.545,19.033,27.667,42.141,33.71,31.399,29.2,26.158,116.34,57.293,47.335,52.964,57.662,87.092,303.788
"23","FRA","Booklet 01","5013","501302","50130212","Male",0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,197.1,403.8,403.8,65.004,182.396,150.544,29.773,185.309,185.309,144.072,87.399,111.06,81.033,22.112,109.712,109.712,86.537,102.807,161.839,114.648,69.495,44.753,101.792,145.951,99.329,10.211,NA,NA,NA,NA,NA
"24","FRA","Booklet 01","5014","501402","50140216","Male",0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,63.976,350.153,350.153,74.928,62.023,101.392,42.209,349.606,349.606,20.528,84.248,129.902,88.708,73.44,75.31,75.31,41.848,38.091,100.338,40.339,36.323,54.386,109.213,49.645,68.087,45.536,90.257,30.706,16.581,97.521,139.136
"25","FRA","Booklet 01","5014","501405","50140504","Male",0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.668,208.432,208.432,21.191,119.265,47.398,13.495,114.399,114.399,23.903,43.537,50.072,12.774,58.824,188.102,188.102,50.639,34.195,63.511,68.232,7.735,36.057,41.438,32.712,67.358,20.819,133.556,72.783,66.13,98.352,193.261
"26","FRA","Booklet 01","5015","501501","50150116","Female",0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,43.994,112.279,112.279,82.773,113.384,38.83,38.146,180.149,180.149,23.566,87.761,42.133,15.567,62.309,103.685,103.685,80.075,49.79,109.488,28.698,81.932,38.637,86.311,210.665,81.611,103.645,87.47,238.355,64.429,44.597,398.291
"27","FRA","Booklet 01","5015","501505","50150505","Male",0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,51.4,100.42,100.42,17.786,47.816,49.57,23.369,161.242,161.242,35.843,83.936,137.556,44.241,33.737,213.706,213.706,136.652,56.362,186.685,113.767,75.84,95.57,139.031,184.367,89.097,23.152,81.332,143.611,52.079,53.77,245.786
"28","FRA","Booklet 01","5015","501505","50150521","Male",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,34.398,135.574,135.574,17.795,33.26,19.28,24.713,76.825,76.825,18.764,29.105,47.881,5.572,21.342,57.684,57.684,13.377,20.412,23.597,50.654,9.661,3.385,10.66,29.484,51.108,10.198,49.778,90.17,42.774,79.272,99.55
"29","FRA","Booklet 01","5016","501601","50160107","Female",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,0,91.47,316.914,316.914,129.298,297.74,99.886,41.674,120.76,120.76,47.739,81.34,131.709,42.235,80.085,161.923,161.923,148.1,42.828,278.054,37.186,81.551,28.151,83.761,74.621,44.143,39.793,56.198,57.519,42.606,37.462,7.315
"30","FRA","Booklet 01","5017","501701","50170104","Male",0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,104.834,240.511,240.511,71.799,32.352,45.728,16.961,183.308,183.308,17.877,110.238,87.773,25.044,91.08,123.23,123.23,63.625,48.943,58.764,35.91,69.144,36.76,86.054,127.392,143.184,34.742,85.947,88.526,64.282,77.119,324.221
"31","FRA","Booklet 01","5017","501701","50170120","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,50.69,211.751,211.751,28.989,53.432,22.033,17.776,396.364,396.364,24.948,78.031,47.059,22.759,68.973,164.772,164.772,47.278,60.324,75.699,55.467,85.177,25.973,136.45,74.532,169.989,120.722,62.961,205.423,33.904,54.629,288.289
"32","FRA","Booklet 01","5017","501706","50170606","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,64.055,204.512,204.512,37.225,68.047,16.744,8.592,187.463,187.463,25.289,125.495,117.719,29.066,106.31,264.47,264.47,88.843,92.921,102.682,112.188,97.137,11.928,20.611,165.741,186.925,32.064,115.185,164.52,58.663,37.217,9.088
"33","FRA","Booklet 01","5017","501706","50170622","Female",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,55.6,86.488,86.488,78.832,95.073,41.552,13.478,159.086,159.086,35.909,53.943,184.105,14.783,58.248,52.504,52.504,67.728,38.489,52.212,70.103,61.132,36.008,54.333,50.625,167.768,31.823,79.418,297.399,31.056,52.615,333.581
"34","FRA","Booklet 01","5018","501804","50180412","Female",0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,120.474,126.121,126.121,31.433,52.474,71.813,18.292,169.645,169.645,43.852,71.365,73.853,15.258,25.008,203.969,203.969,100.4,77.278,334.573,70.423,107.983,69.511,167.776,246.938,41.967,40.285,52.998,84.502,58.325,78.432,143.366
"35","FRA","Booklet 01","5019","501903","50190311","Female",0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,108.355,149.171,149.171,50.341,76.685,74.976,44.368,254.439,254.439,39.962,56.842,72.64,29.037,160.034,210.296,210.296,41.907,25.083,109.88,52.019,80.131,55.882,99.71,241.129,93.2,30.679,38.242,91.928,15.944,49.947,179.45
"36","FRA","Booklet 01","5020","502001","50200105","Male",0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,21.569,185.714,185.714,33.489,33.135,23.459,14.296,305.901,305.901,32.267,61.209,38.378,18.438,20.273,116.679,116.679,74.554,31.201,102.758,151.967,31.321,54.329,70.929,29.714,81.155,35.166,50.698,91.874,44.609,80.722,337.327
"37","FRA","Booklet 01","5020","502001","50200121","Female",0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,98.106,105.146,105.146,47.145,37.259,32.656,21.371,342.311,342.311,212.598,98.337,70.823,54.502,33.96,335.344,335.344,146.418,136.347,50.718,50.746,32.105,107.784,81.341,59.538,116.738,36.909,61.421,37.929,38.08,39.023,106.761
"38","FRA","Booklet 01","5020","502005","50200512","Female",0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,75.114,85.95,85.95,44.169,43.655,34.336,19.578,248.605,248.605,30.234,86.33,83.279,50.88,18.753,121.471,121.471,81.726,19.545,47.292,51.362,49.223,34.034,82.503,177.273,62.512,32.257,54.262,43.944,111.841,65.512,390.04
"39","FRA","Booklet 01","5020","502005","50200528","Female",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,46.595,280.336,280.336,84.328,37.832,50.768,17.512,225.759,225.759,94.275,83.984,163.264,45.186,66.723,194.82,194.82,55.805,61.67,114.018,57.056,57.35,43.419,101.425,105.92,106.218,41.166,82.391,97.601,57.135,62.017,260.573
"40","FRA","Booklet 01","5021","502103","50210314","Male",0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,81.297,125.951,125.951,102.644,156.677,59.985,38.046,214.652,214.652,68.713,96.505,110.977,38.489,20.112,143.569,143.569,67.384,32.702,178.109,74.196,23.959,48.303,79.518,138.3,84.074,40.033,100.945,104.544,40.079,41.441,256.898
"41","FRA","Booklet 01","5022","502205","50220501","Male",0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,45.866,115.311,115.311,167.172,248.933,37.64,29.424,154.698,154.698,26.646,95.439,30.95,68.745,30.49,114.166,114.166,76.326,28.11,131.153,63.882,32.944,28.578,50.982,85.6,94.888,29.852,43.872,78.356,61.108,42.187,218.815
"42","FRA","Booklet 01","5022","502205","50220517","Male",0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,67.864,192.899,192.899,31.272,32.902,25.164,42.688,152.104,152.104,38.389,50.882,40.861,26.815,30.566,206.831,206.831,68.569,52.984,26.805,68.615,19.711,33.323,74.621,46.69,101.6,21.816,85.705,103.493,40.146,59.75,358.97
"43","FRA","Booklet 01","5023","502307","50230705","Male",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,58.98,237.733,237.733,33.875,169.186,61.387,100.278,224.903,224.903,60.444,77.385,48.832,33.701,108.252,75.226,75.226,52.161,42.479,43.556,87.499,32.808,57.113,51.349,43.878,42.637,14.185,148.71,94.846,29.921,40.441,113.701
"44","FRA","Booklet 01","5023","502307","50230721","Male",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,217.658,226.75,226.75,55.577,116.805,48.558,30.852,321.914,321.914,45.524,86.163,78.304,91.513,28.707,165.576,165.576,81.241,42.773,131.986,63.291,47.435,40.575,62.497,118.984,83.779,29.014,59.92,42.918,100.696,40.869,102.155
"45","FRA","Booklet 01","5024","502402","50240210","Female",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,1,0,0,38.602,135.054,135.054,41.691,45.1,48.904,8.416,109.909,109.909,23.022,49.344,23.007,14.816,33.71,66.181,66.181,40.045,43.481,24.185,46.774,67.21,19.876,70.065,66.618,102.759,62.035,68.211,96.446,82.226,106.119,96.385
"46","FRA","Booklet 01","5025","502501","50250113","Female",0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,108.509,83.296,83.296,30.843,22.146,111.699,41.444,146.857,146.857,53.61,89.501,88.767,22.529,33.496,196.241,196.241,84.239,122.768,80.142,49.842,41.784,47.885,98.104,738.342,93.364,36.747,65.252,56.692,46.072,60.429,45.176
"47","FRA","Booklet 01","5026","502602","50260212","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,68.468,132.544,132.544,27.371,95.187,72.434,49.739,186.011,186.011,25.691,124.354,125.562,62.525,106.134,180.128,180.128,102.333,86.248,41.599,51.882,160.407,131.066,98.613,161.281,74.751,200.254,88.485,97.394,46.881,53.401,46.934
"48","FRA","Booklet 01","5026","502602","50260228","Male",0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,58.211,100.156,100.156,48.525,24.986,44.43,19.967,386.615,386.615,60.36,41.187,93.621,35.017,29.647,107.638,107.638,67.744,41.917,26.789,20.538,70.817,41.901,144.338,109.361,79.357,87.955,54.454,53.607,88.6,48.638,206.021
"49","FRA","Booklet 01","5027","502702","50270201","Female",0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,2,1,0,1,1,1,1,1,1,1,0,1,1,1,0,115.719,171.792,171.792,100.493,93.096,112.569,30.037,245.831,245.831,71.788,84.223,173.488,18.862,31.798,217.467,217.467,131.145,143.353,166.316,61.733,75.993,71.443,63.961,41.576,77.009,48.644,65.913,55.854,30.7,26.657,175.271
"50","FRA","Booklet 01","5027","502702","50270217","Male",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,23.125,115.389,115.389,37.916,41.67,67.145,20.276,137.166,137.166,13.816,25.314,91.351,29.923,36.733,88.887,88.887,30.828,20.363,33.773,27.432,17.454,29.24,15.279,19.03,7.014,17.208,11.294,125.442,22.272,33.291,80.534
"51","FRA","Booklet 01","5028","502802","50280205","Male",0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,55.18,105.091,105.091,43.453,67.111,50.384,9.108,137.707,137.707,58.986,113.997,71.313,43.663,47.919,229.364,229.364,66.535,32.448,69.287,51.85,36.878,66.113,103.174,98.466,93.667,19.797,61.311,114.505,55.692,45.11,111.353
"52","FRA","Booklet 01","5029","502901","50290103","Male",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,0,0,1,0,1,1,0,1,1,0,1,1,1,78.572,121.16,121.16,43.384,76.968,25.339,12.255,182.353,182.353,56.847,136.081,151.412,78.592,32.846,260.583,260.583,131.368,73.106,85.075,117.842,47.292,64.603,68.589,71.518,120.456,47,74.347,71.885,86.229,70.304,245.25
"53","FRA","Booklet 01","5029","502901","50290119","Male",0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,124.053,177.937,177.937,46.69,50.871,25.552,13.191,230.536,230.536,85.687,121.245,92.254,34.017,34.617,171.274,171.274,70.362,31.566,116.304,53.936,56.805,37.432,77.105,131.841,72.817,35.136,80.526,69.031,106.701,67.528,218.532
"54","FRA","Booklet 01","5029","502907","50290704","Female",0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,2,1,0,1,1,1,1,1,0,1,1,0,1,1,0,74.033,154.868,154.868,90.881,45.607,56.271,10.901,264.836,264.836,63.742,45.406,167.651,148.477,84.859,188.204,188.204,46.7,61.367,111.288,63.053,44.36,49.808,80.112,85.2,64.011,160.775,92.697,69.176,36.612,57.713,279.799
"55","FRA","Booklet 01","5029","502907","50290720","Female",0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,2,1,0,1,1,0,1,1,1,1,0,1,0,1,0,122.712,161.077,161.077,14.968,90.247,46.607,9.08,244.853,244.853,64.6,233.964,157.865,77.361,25.976,245.484,245.484,51.096,29.962,112.662,34.92,43.168,57.36,89.56,273.394,39.967,26.265,77.593,58.344,103.752,51.125,158.175
"56","FRA","Booklet 01","5030","503005","50300510","Female",0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,39.93,462.919,462.919,75.225,32.837,47.182,38.183,260.579,260.579,84.613,50.383,21.329,19.65,60.583,130.454,130.454,88.534,42.34,61.629,168.592,101.985,31.778,97.958,36.703,88.262,25.54,105.504,32.412,128.922,75.061,116.9
"57","FRA","Booklet 01","5031","503104","50310416","Female",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,142.79,169.852,169.852,71.415,72.728,81.179,47.287,385.155,385.155,54.958,303.688,126.189,126.376,196.257,216.41,216.41,83.298,196.376,103.944,52.126,59.076,60.916,142.35,8.419,NA,NA,NA,NA,NA,NA,NA
"58","FRA","Booklet 01","5031","503104","50310432","Male",0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,35.516,141.604,141.604,21.482,37.704,14.081,14.699,140.626,140.626,31.218,115.103,66.975,38.182,25.372,106.285,106.285,106.99,47.264,57.562,42.002,40.864,46.544,100.458,94.605,78.76,79.433,51.293,42.155,118.985,39.68,123.591
"59","FRA","Booklet 01","5031","503109","50310915","Female",0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,50.436,240.566,240.566,60.106,27.258,79.719,46.448,182.5,182.5,56.725,209.217,60.069,85.052,54.056,77.506,77.506,87.607,90.622,128.238,72.595,70.791,61.019,55.341,205.596,45.326,37.705,46.088,63.825,115.416,35.187,354.124
