"","IDCNTRY","booklet_id","IDSCHOOL","IDCLASS","person_id","ITSEX","dum.fr","dum.eng","dum.hk","dum.kor","dum.qat","dum.nor","dum.twn","ME52024","ME52058A","ME52058B","ME52125","ME52229","ME52063","ME52072","ME52146A","ME52146B","ME52092","ME52046","ME52083","ME52082","ME52161","ME52418A","ME52418B","ME72007","ME72025","ME72017","ME72190","ME72068","ME72076","ME72056","ME72098","ME72103","ME72121","ME72180","ME72198","ME72227","ME72170","ME72209","ME52024t","ME52058At","ME52058Bt","ME52125t","ME52229t","ME52063t","ME52072t","ME52146At","ME52146Bt","ME52092t","ME52046t","ME52083t","ME52082t","ME52161t","ME52418At","ME52418Bt","ME72007t","ME72025t","ME72017t","ME72190t","ME72068t","ME72076t","ME72056t","ME72098t","ME72103t","ME72121t","ME72180t","ME72198t","ME72227t","ME72170t","ME72209t"
"946","KOR","Booklet 01","5128","512809","51280922","Male",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,87.002,141.041,141.041,31.651,13.213,39.385,11.013,83.12,83.12,27.973,48.539,85.793,24.607,17.183,118.842,118.842,38.416,42.298,85.573,57.417,60.858,16.647,30.283,154.901,63.611,24.747,41.977,136.844,79.252,62.617,119.887
"947","KOR","Booklet 01","5129","512913","51291316","Female",0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,2,1,0,0,1,1,1,1,0,1,0,0,0,1,0,34.459,107.288,107.288,31.472,28.768,18.224,5.856,113.4,113.4,23.663,26.008,33.913,34.44,29.824,94.848,94.848,53.496,19.928,120.001,49.431,19.544,28.456,31.12,40.721,74.567,29.272,34.032,67.761,57.8,146.215,154.992
"948","KOR","Booklet 01","5130","513005","51300501","Male",0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,108.704,96.865,96.865,47.751,27.719,18.265,8.089,85.496,85.496,20.359,70.336,135.002,33.696,92.006,71.282,71.282,18.326,13.67,24.101,9.101,25.944,24.913,7.359,47.101,4.922,26.273,12.753,6,4.278,4.518,19.905
"949","KOR","Booklet 01","5130","513005","51300517","Female",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50.386,162.102,162.102,39.737,22.289,16.343,16.897,436.488,436.488,7.582,53.52,63.984,43.058,23.474,99.668,99.668,78.184,22.175,107.713,20.641,18.807,30.296,37.775,72.131,37.751,25.295,90.444,52.106,35.85,51.656,98.351
"950","KOR","Booklet 01","5131","513108","51310805","Female",0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,57.534,68.365,68.365,38.297,14.559,8.792,11.837,75.028,75.028,43.204,85.975,23.656,29.048,18.127,155.585,155.585,76.472,27.136,95.416,18.991,16.369,22.624,32.655,30.8,18.319,26.842,31.2,44.857,19.815,21.312,72.465
"951","KOR","Booklet 01","5131","513108","51310821","Male",0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,60.528,239.955,239.955,101.967,39.558,11.016,5.432,114.024,114.024,66.441,38.159,30.058,29.623,8.776,70.118,70.118,50.45,34.4,43.632,19.52,14.647,11.329,45.574,35.129,83.32,15.312,33.432,61.553,62.768,27.672,131.216
"952","KOR","Booklet 01","5132","513204","51320401","Male",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,56.669,140.704,140.704,41.535,27.552,14.022,9.482,449.594,449.594,46.271,42.708,44.228,18.361,67.16,134.648,134.648,61.744,57.936,119.184,29.776,23.544,25.169,85.319,69.913,62.368,55.066,85.742,74.984,53.175,114.779,232.455
"953","KOR","Booklet 01","5132","513204","51320417","Male",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,1,0,1,1,1,0,1,1,1,0,1,1,1,0,51.98,78.751,78.751,22.778,25.672,15.111,6.952,82.59,82.59,99.722,44.832,3.439,27.329,17.443,62.565,62.565,42.138,30.814,240.559,80.128,36.672,19.195,109.341,72.296,47.338,21.094,155.912,39.375,67.786,24,110.919
"954","KOR","Booklet 01","5133","513303","51330312","Male",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,52.467,91.71,91.71,29.57,30.841,16.12,7.642,147.348,147.348,134.354,42.091,50.67,40.973,23.827,71.424,71.424,41.477,20.174,98.101,31.563,23.653,16.461,46.164,90.483,60.605,26.122,42,40.784,43.103,50.842,331.052
"955","KOR","Booklet 01","5133","513303","51330328","Male",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26.586,88.584,88.584,31.576,21.553,19.471,12.489,173.911,173.911,9.192,3.144,2.4,51.088,24.928,17.68,17.68,6.712,10.968,27.64,8.537,4.712,7.047,50.736,13.4,3.429,22.631,7.848,11.277,23.92,19.079,36.105
